FECHA;PIB ANUAL;VAR_PIB
2022;115.049 M$;2,90%
2021;106.166 M$;4,20%
2020;99.291 M$;-7,80%
2019;108.108 M$;0,00%
2018;107.562 M$;1,30%
2017;104.296 M$;2,40%
2016;99.938 M$;-1,20%
2015;99.290 M$;0,10%
2014;101.726 M$;3,80%
2013;95.130 M$;4,90%
2012;87.925 M$;5,60%
2011;79.277 M$;7,90%
2010;69.555 M$;3,50%
2009;62.520 M$;0,60%
2008;61.763 M$;6,40%
2007;51.008 M$;2,20%
2006;46.802 M$;4,40%
2005;41.507 M$;5,30%
2004;36.592 M$;8,20%
2003;32.433 M$;2,70%
2002;28.549 M$;4,10%
2001;24.468 M$;4,00%
2000;18.319 M$;1,10%
1999;19.740 M$;-4,70%
1998;27.474 M$;3,30%
1997;27.009 M$;4,30%
1996;24.035 M$;1,70%
1995;22.968 M$;2,30%
1994;21.147 M$;4,30%
1993;17.537 M$;2,00%
1992;15.012 M$;3,60%
1991;13.730 M$;5,10%
1990;12.236 M$;3,00%
1989;12.049 M$;0,30%
1988;12.277 M$;10,50%
1987;12.910 M$;-6,00%
1986;13.816 M$;3,10%
1985;18.830 M$;4,40%
1984;16.101 M$;4,20%
1983;15.129 M$;-2,80%
1982;17.214 M$;1,20%
1981;17.243 M$;3,90%
1980;16.840 M$;4,90%
1979;14.175 M$;3,70%
1978;11.923 M$;5,70%
1977;11.026 M$;1,60%
1976;9.092 M$;7,40%
1975;7.732 M$;11,00%
1974;6.599 M$;11,20%
1973;3.892 M$;14,00%
1972;3.186 M$;5,00%
1971;2.754 M$;6,30%
1970;2.863 M$;6,90%
1969;3.112 M$;4,70%
1968;2.582 M$;1,90%
1967;2.554 M$;4,60%
1966;2.429 M$;-0,30%
1965;2.387 M$;3,30%
1964;2.244 M$;7,40%
1963;1.824 M$;2,10%
1962;1.518 M$;4,90%
1961;1.754 M$;5,10%
1960;2.069 M$;
